date,open,high,low,close,volume
2013-08-23,503.27,503.35,499.35,501.02,7954700
2013-08-26,500.75,510.20,500.50,502.97,11820200
2013-08-27,498.00,502.51,486.30,488.59,15149600
2013-08-28,486.00,495.80,486.00,490.90,10986000
2013-08-29,491.65,496.50,491.13,491.70,8559200
2013-08-30,492.00,492.95,486.50,487.22,9724900
2013-09-03,493.10,500.60,487.35,488.58,11854600
2013-09-04,499.56,502.24,496.28,498.69,12322600
2013-09-05,500.25,500.68,493.64,495.27,8441700
2013-09-06,498.44,499.38,489.95,498.22,12840200
2013-09-09,505.00,507.92,503.48,506.17,12167400
2013-09-10,506.20,507.45,489.50,494.64,26542700
2013-09-11,467.01,473.69,464.81,467.71,32096300
2013-09-12,468.50,475.40,466.01,472.69,14430400
2013-09-13,469.34,471.83,464.70,464.90,10672700
2013-09-16,461.00,461.61,447.22,450.12,19418100
2013-09-17,447.96,459.71,447.50,455.32,14263600
2013-09-18,463.18,466.35,460.66,464.68,16316500
2013-09-19,470.70,475.83,469.25,472.30,14447900
2013-09-20,478.00,478.55,466.00,467.41,24975100
2013-09-23,496.10,496.91,482.60,490.64,27218100
2013-09-24,494.88,495.47,487.82,489.10,13012300
2013-09-25,489.20,489.64,481.43,481.53,11319900
2013-09-26,486.00,488.56,483.90,486.22,8472200
2013-09-27,483.78,484.67,480.72,482.75,8144300
2013-09-30,477.25,481.66,474.41,476.75,9291300
2013-10-01,478.45,489.14,478.38,487.96,12638700
2013-10-02,485.63,491.80,483.75,489.56,10328000
2013-10-03,490.51,492.35,480.74,483.41,11526900
2013-10-04,483.86,484.60,478.60,483.03,9245300
2013-10-07,486.56,492.65,485.35,487.75,11153300
2013-10-08,489.94,490.64,480.54,480.94,10389900
2013-10-09,484.64,487.79,478.28,486.59,10775900
2013-10-10,491.32,492.38,487.04,489.64,9950100
2013-10-11,486.99,493.84,485.16,492.81,9562100
2013-10-14,489.83,497.58,489.35,496.04,9353500
2013-10-15,497.51,502.00,495.52,498.68,11431200
2013-10-16,500.79,502.53,499.23,501.11,8967900
2013-10-17,499.98,504.78,499.68,504.50,9056900
2013-10-18,505.99,509.26,505.71,508.89,10376500
2013-10-21,511.77,524.30,511.52,521.36,14218100
2013-10-22,526.41,528.45,508.03,519.87,19073700
2013-10-23,519.00,525.67,519.00,524.96,11204400
2013-10-24,525.00,532.47,522.45,531.91,13741600
2013-10-25,531.32,533.23,525.11,525.96,12064000
2013-10-28,529.04,531.00,523.21,529.88,19658600
2013-10-29,536.27,539.25,514.54,516.68,22707400
2013-10-30,519.61,527.52,517.02,524.90,12648700
2013-10-31,525.00,527.49,521.27,522.70,9846300
2013-11-01,524.02,524.80,515.84,520.03,9817500
2013-11-04,521.10,526.82,518.81,526.75,8736700
2013-11-05,524.58,528.89,523.00,525.45,9471900
2013-11-06,524.15,524.86,518.20,520.92,7977700
2013-11-07,519.58,523.19,512.38,512.49,9379300
2013-11-08,514.58,521.13,512.59,520.56,9975600
2013-11-11,519.99,521.67,514.41,519.05,8123300
2013-11-12,517.67,523.92,517.00,520.01,7295600
2013-11-13,518.00,522.25,516.96,520.63,7043600
2013-11-14,522.81,529.28,521.87,528.16,10086400
2013-11-15,526.58,529.09,524.49,524.99,11354300
2013-11-18,524.99,527.19,518.20,518.63,8748000
2013-11-19,519.03,523.38,517.97,519.55,7462100
2013-11-20,519.23,520.42,514.33,515.00,6925600
2013-11-21,517.60,521.21,513.67,521.14,9358100
2013-11-22,519.52,522.16,518.53,519.80,7990200
2013-11-25,521.02,525.87,521.00,523.74,8189700
2013-11-26,524.12,536.14,524.00,533.40,14335100
2013-11-27,536.31,546.00,533.40,545.96,12980300
2013-11-29,549.48,558.33,547.81,556.07,11361700
2013-12-02,558.00,564.33,550.82,551.23,16876600
2013-12-03,558.30,566.38,557.68,566.32,16106000
2013-12-04,565.50,569.19,560.82,565.00,13478200
2013-12-05,572.65,575.14,566.41,567.90,15985000
2013-12-06,565.79,566.75,559.57,560.02,12298300
2013-12-09,560.90,569.58,560.90,566.43,11446200
2013-12-10,563.58,567.88,561.20,565.55,9938200
2013-12-11,567.00,570.97,559.69,561.36,12847100
2013-12-12,562.14,565.34,560.03,560.54,9367500
2013-12-13,562.85,562.88,553.67,554.43,11886500
2013-12-16,555.02,562.64,555.01,557.50,10092600
2013-12-17,555.81,559.44,553.38,554.99,8210800
2013-12-18,549.70,551.45,538.80,550.77,20209400
2013-12-19,549.50,550.00,543.73,544.46,11462800
2013-12-20,545.43,551.61,544.82,549.02,15586200
2013-12-23,568.00,570.72,562.76,570.09,17903800
2013-12-24,569.89,571.88,566.03,567.67,5984100
2013-12-26,568.10,569.50,563.38,563.90,7286000
2013-12-27,563.82,564.41,559.50,560.09,8067300
2013-12-30,557.46,560.09,552.32,554.52,9058200
2013-12-31,554.17,561.28,554.00,561.02,7967300
